Sentence,Label,data_source
I was raised around the idea that speaking English without an accent made someone more intelligent.,ideological,base_synthetic
"People often treat whiteness as the default standard of professionalism, beauty, and respectability.",ideological,base_synthetic
She learned early that darker skin was described as something to overcome rather than something to value.,ideological,base_synthetic
The assumption that men are naturally better leaders makes women seem less capable before they even speak.,ideological,base_synthetic
I noticed how poverty was framed as a personal failure instead of a result of unequal opportunity.,ideological,base_synthetic
Many people act as though Western culture is more advanced than all other ways of living.,ideological,base_synthetic
He believed immigrants should be grateful for basic acceptance because they were seen as outsiders by nature.,ideological,base_synthetic
"Disabled people are often viewed as less complete, as if independence is the only measure of human worth.",ideological,base_synthetic
"I grew up hearing that boys were logical and girls were emotional, and that belief shaped how everyone was treated.",ideological,base_synthetic
The idea that straight relationships are more normal makes queer love seem like something that needs explanation.,ideological,base_synthetic
"People in my community treated lighter skin as proof of beauty, status, and even better character.",ideological,base_synthetic
The belief that rich people are rich because they are smarter quietly makes poor people seem less deserving.,ideological,base_synthetic
She was taught that her religion was backward while dominant religious practices were treated as moral and civilized.,ideological,base_synthetic
Society often assumes that thin bodies show discipline and larger bodies show laziness.,ideological,base_synthetic
I realized that my name was treated as difficult because it did not fit the dominant culture’s idea of normal.,ideological,base_synthetic
The stereotype that Black students are naturally less academic makes their achievements seem surprising instead of expected.,ideological,base_synthetic
Many people assume English-speaking countries have better values simply because they hold more global power.,ideological,base_synthetic
"He absorbed the message that masculinity meant control, toughness, and never needing help.",ideological,base_synthetic
The idea that Indigenous knowledge is primitive allows people to dismiss it without understanding it.,ideological,base_synthetic
I felt pressure to distance myself from my accent because people associated it with ignorance.,ideological,base_synthetic
"Some people still believe leadership looks male, wealthy, white, and able-bodied.",ideological,base_synthetic
The belief that women are naturally suited for caregiving makes their ambitions seem selfish.,ideological,base_synthetic
"People often describe rural communities as uneducated, as though city life automatically makes someone more enlightened.",ideological,base_synthetic
I noticed that immigrant parents were portrayed as strict or outdated while white parenting styles were called intentional.,ideological,base_synthetic
The idea that certain nationalities are more hardworking than others turns culture into a ranking system.,ideological,base_synthetic
She internalized the belief that her natural hair looked less polished than straightened hair.,ideological,base_synthetic
"Many people assume that being poor means lacking discipline, intelligence, or ambition.",ideological,base_synthetic
The belief that heterosexuality is the natural path makes other identities seem like deviations.,ideological,base_synthetic
I was taught that “proper” speech mattered more when people from marginalized communities were speaking.,ideological,base_synthetic
The assumption that disabled people are inspirational just for existing can still come from seeing them as less capable.,ideological,base_synthetic
Society often treats youth from wealthy neighborhoods as promising and youth from low-income neighborhoods as risky.,ideological,base_synthetic
He believed women needed protection because he saw them as weaker rather than equally capable.,ideological,base_synthetic
The idea that some cultures are more civilized has been used to excuse disrespect toward entire communities.,ideological,base_synthetic
I noticed that people praised assimilation more than they praised cultural pride.,ideological,base_synthetic
The stereotype that Muslims are naturally threatening makes ordinary religious expression seem suspicious.,ideological,base_synthetic
"Many people treat lighter skin, European features, and Western fashion as signs of higher status.",ideological,base_synthetic
The belief that older adults are less useful makes aging seem like decline instead of a stage of life.,ideological,base_synthetic
She felt that speaking her family’s language in public made others see her as less American.,ideological,base_synthetic
The assumption that men should dominate decision-making makes women’s authority appear unnatural.,ideological,base_synthetic
People often act as though neurotypical communication is the only correct way to think and interact.,ideological,base_synthetic
I learned that being quiet in school was praised in some children but seen as deficiency in others.,ideological,base_synthetic
The belief that certain accents sound “educated” gives social value to one group’s way of speaking.,ideological,base_synthetic
Many people see homelessness as proof of moral weakness rather than a failure of shared responsibility.,ideological,base_synthetic
