sentence,Labels,Confidence,Reasoning
I’m 42 years old.,Ideological,0.5,The statement serves as a personal narrative detail that establishes the speaker's identity and generational positionality within a social context.
This was an interesting exercise.,Ideological,0.4,The statement reflects an individual faculty member's belief and narrative assessment of the pedagogical content provided.
Thinking about it I realized there were two reasons contributing to this issue.,Internalized,0.45,The statement focuses on an individual's internal realization and cognitive reflection process regarding an issue.
"I grew up in the midwest for the first half of my life, the second half in So Cal.",Ideological,0.45,The statement identifies geographic regions that carry specific cultural messages and narratives which shape an individual's foundational worldview.
"However, one highlight of this exercise for me was that I realized I had not ever listed them out in such a methodical manner.",Internalized,0.8,"The statement describes a personal realization (""I realized"") and a shift in internal awareness regarding the individual's own past practices."
I immigrated to this country as a young adult.,Internalized,0.8,"The statement reflects the speaker's personal identity and lived experience, which shapes their internal perspective and social positionality."
I have constantly felt that where I grew up and my sibling order as the oldest have been the larger influencers into who I am today and how I carry myself as an individual and educator.,Internalized,0.8,The text reflects a faculty member's internal self-perception and personal narrative regarding how their background and identity have been shaped at an individual level.
I am the only daughter in my family and have two older brothers.,Ideological,0.75,The statement presents a gendered personal narrative and identity marker which falls under the category of cultural narratives and social norms.
"I have lived in different countries during my childhood, which is called formative years.",Ideological,0.7,"The statement refers to ""formative years"" and lived experiences in different countries, which are foundational periods for the development of one's personal narratives, beliefs, and cultural perspectives."
D degree etc.,Institutionalized,0.8,The mention of degrees and grade levels refers to official academic structures and systems within an educational institution.
I have great gratitude for the life I have lived.,Internalized,0.7,This statement reflects an individual's internal psychological state and personal self-reflection regarding their own life experience.
I noticed the same Maria.,Interpersonal,0.8,"The statement represents a direct interaction and acknowledgment between two individuals, fitting the category of person-to-person engagement."
"From my child's personal experience, I can relate to this.",Internalized,0.8,"The statement expresses a personal, internal identification and belief system rooted in lived experience."
This process was very enlightening.,Ideological,0.7,"The term ""enlightening"" indicates a shift in the participant's cognitive awareness or understanding of the beliefs, norms, and assumptions central to the program."
But the exercise seems like something that I'd benefit from expanding upon and adding to bit by bit.,Institutionalized,0.8,"The faculty member is discussing the refinement and implementation of a classroom exercise, which qualifies as an official pedagogical practice or instructional system."
There's something insightful about writing down the details.,Ideological,0.65,"The statement refers to the cognitive process of gaining insight and clarity, which relates to surfacing and examining one's underlying beliefs, narratives, or assumptions."
"A highlight: I noticed that pretty much all of my identities really mapped out onto all three areas--personal, interpersonal, and systemic--in different ways.",Institutionalized,0.8,"The statement explicitly highlights a realization of how identities map onto ""systemic"" areas, which corresponds to the structures and systems defined under Institutionalized."
But it was useful to try to place them on the page and really think about it.,Ideological,0.7,"The text describes the cognitive process of categorizing and reflecting on conceptual frameworks, beliefs, and narratives."
That will be something I keep in mind for use in a future class.,Institutionalized,0.7,The statement refers to the intended implementation of pedagogical methods into the official practices and structures of a future classroom.
Education: First to obtain Phd degree in my generation (Canada),Institutionalized,0.8,"The statement refers to academic degree attainment and generational access, which are governed by the systems and structures of higher education."
The process of deciding where to plop certain identities within the 3 different circles was very eye-opening.,Ideological,0.85,"The statement describes a conceptual exercise of mapping identities based on societal narratives, norms, and cultural frameworks."
That has helped me to know about the fact that people in different countries approach the same issue differently.,Ideological,0.85,The statement addresses an awareness of varying cultural narratives and norms regarding how different groups approach problems.
I soon learned to see color.,Ideological,0.9,This statement reflects a shift in the speaker's personal belief system and perspective regarding the social narrative of race and colorblindness.
"Coming here, I was color blind.",Ideological,0.95,"The statement refers to ""color blindness,"" which is a specific racial belief system and personal assumption about how to interpret diversity."
"Status: Lecturer Faculty, Instructor",Institutionalized,0.95,"The text identifies a professional rank and employment status, which are defined by institutional policies and structural hierarchies within the university."
"Those who have it seem to be able to overcome their marginalized status in other areas, and those who do not seem to be under-served even if they belong to other privileged groups demographically.",Institutionalized,0.85,"The text focuses on individuals being ""under-served,"" a term that directly refers to the failure of institutional systems and structures to provide adequate resources or support."
Something I already knew - how privileges change as people move from one place to another.,Institutionalized,0.85,"The statement reflects an understanding that privilege is contextual and contingent upon the specific systems, structures, and geographic policies of a given location."
"When I return to my rural hometown, I change behavior and check many of my comments.",Internalized,0.9,The individual describes a process of self-monitoring and behavioral self-censorship in response to external social norms and pressures.
Ageism is something that has always impacted me.,Internalized,0.85,"The statement reflects the speaker's personal, subjective experience and the internal impact of systemic ageism on their own life."
I enjoy having time to engage in activities like this as it forces me to go beyond the narrative that I tell myself about myself.,Internalized,0.95,the statement explicitly addresses the individual's internal dialogue and the private narrative they maintain about their own identity.
I also identify with the geographic aspect.,Internalized,0.85,"The statement focuses on the speaker's personal identification with a geographic social category, reflecting an internal belief or self-perception shaped by social narratives."
It was eye-opening to recognize just how many dimensions and intersections shape my personal identity.,Internalized,0.9,The statement describes a self-reflective process concerning the internal construction and multifaceted nature of the speaker's own identity.
"Nonetheless, I have also found kind and supportive people in my journey.",Interpersonal,0.95,The statement describes direct social interactions and support experienced between the speaker and other individuals.
"But overall, this was a stimulating way to start up conversations about a sensitive topic.",Interpersonal,0.85,The statement focuses on the act of engaging in dialogue and conversation between individuals regarding sensitive subjects.
"In my professional career, I am often the youngest in a particular space (I know this will not always be the case) and experience peers who are older calling me ""sweetie.""",Interpersonal,0.95,The statement describes direct verbal interactions between peers where a patronizing term is used based on age.
"Hi, all.",Interpersonal,0.9,This text is a direct social greeting used to initiate communication between individuals in a group setting.
