Sentence,Label
I sometimes catch myself believing I have to sound less like my family to be taken seriously.,internalized
"She felt embarrassed when her traditional clothes made her stand out, even though they once made her proud.",internalized
He assumed his accent made him seem less intelligent before anyone had even judged him.,internalized
I kept telling myself that people like me are not meant for leadership roles.,internalized
They laughed at jokes about their own community because disagreeing felt too risky.,internalized
I used to think being quiet about my identity made me more respectable.,internalized
She blamed herself for needing accommodations and wondered if she was just being difficult.,internalized
He avoided speaking his native language in public because he thought it made him seem uneducated.,internalized
I felt proud when someone said I did not “act like” others from my background.,internalized
They believed success meant distancing themselves from the neighborhood that raised them.,internalized
I questioned whether my cultural traditions were holding me back.,internalized
She felt ashamed of her body because she had absorbed the idea that only one kind of beauty mattered.,internalized
"He thought asking for mental health support would make him weak, just like people had said about men in his family.",internalized
I tried to erase parts of my identity because I thought acceptance required becoming less visible.,internalized
"They secretly believed their community was too loud, too emotional, or too much.",internalized
"I felt uncomfortable when people from my background spoke openly, because I had learned to value silence over honesty.",internalized
She believed she had to outperform everyone just to prove she was not a stereotype.,internalized
He saw his disability as a personal failure instead of part of how he moved through the world.,internalized
I avoided foods from my culture because I thought they made me seem strange.,internalized
They assumed their poverty meant they were less disciplined than people with more money.,internalized
I felt guilty taking up space in rooms where people like me were rarely represented.,internalized
She apologized for her religious practices even when no one had complained.,internalized
He believed that being accepted meant hiding how much his family struggled financially.,internalized
I sometimes felt less professional when I wore my natural hair.,internalized
They minimized their own experiences because they thought others had “real” problems.,internalized
I convinced myself that my community’s stories were less important than the ones taught in school.,internalized
She felt uncomfortable using her real name because she believed it sounded too foreign.,internalized
"He thought being emotional made him less masculine, even when he was simply being honest.",internalized
"I felt embarrassed when my parents struggled with English, as if their effort reflected badly on me.",internalized
They believed being disabled meant they should expect less from life.,internalized
I rejected my own dialect because I thought it made me sound careless.,internalized
She avoided talking about her sexuality because she had learned to see it as something private and shameful.,internalized
He believed that people from his country were naturally behind others.,internalized
"I thought I had to be grateful for any opportunity, even when I deserved better.",internalized
They felt proud of being called “different” from others in their marginalized group.,internalized
I treated my own cultural knowledge like it was less valuable than academic knowledge.,internalized
She felt pressure to be agreeable because she believed women who spoke firmly were difficult.,internalized
He wondered if his immigration background made him less capable of fitting into professional spaces.,internalized
I avoided community events because I thought they made me seem less modern.,internalized
They believed their family’s traditions were embarrassing instead of meaningful.,internalized
I felt like my success only counted if it was approved by people outside my community.,internalized
She assumed her darker skin made her less attractive before anyone said a word.,internalized
He believed that needing extra time meant he was not smart enough.,internalized
I felt ashamed of my working-class background and tried to make my childhood sound more polished.,internalized
They believed their gender identity made them a burden to the people around them.,internalized
I caught myself thinking that people from my group were too sensitive when they talked about harm.,internalized
She tried to make her voice softer because she feared being seen as aggressive.,internalized
He felt embarrassed by his traditional religion and described it vaguely to avoid judgment.,internalized
I believed my family’s way of speaking sounded less educated than standard English.,internalized
"They assumed that being poor meant they had made bad choices, even as children.",internalized
I avoided correcting people who mispronounced my name because I thought my name was the problem.,internalized
