sentence,Labels,Confidence,Reasoning
This process was very enlightening.,Internalized,0.5,"The statement describes a personal internal shift in perspective or understanding, reflecting the individual's internal belief system."
This was an interesting exercise.,Interpersonal,0.1,"The text represents a direct communicative interaction or feedback between individuals, although it lacks the specific context of oppression typically associated with these definitions."
I noticed the same Maria.,Interpersonal,0.4,"This text reflects a direct communication or shared observation between individuals, which aligns with the interpersonal category."
I’m 42 years old.,Ideological,0.1,"The statement references chronological age, which serves as a dominant social category and norm for organizing identity and cultural narratives."
But the exercise seems like something that I'd benefit from expanding upon and adding to bit by bit.,Internalized,0.45,The text focuses on the speaker's personal reflection and internal assessment of their own growth and benefit.
Gender: Male,Institutionalized,0.7,The text represents a standardized demographic category used in official practices and systems for classification.
I am the only daughter in my family and have two older brothers.,Institutionalized,0.6,"The text describes the structural composition of a family unit, which is a primary social institution."
But it was useful to try to place them on the page and really think about it.,Internalized,0.65,The text describes a person's private process of reflection and the internal cognitive effort to organize their own thoughts or beliefs.
I appreciated participating in the identity mapping activity and found that to be the highlight.,Internalized,0.8,The text describes an activity centered on self-reflection and the exploration of one's own identity and internal beliefs.
Even more important than the education of my sons.” I realized what it really meant many years later and am so grateful for it.,Ideological,0.8,The text reflects on a specific belief or cultural narrative regarding the relative value and importance of education.
That was a learning moment for me.,Internalized,0.8,The statement reflects an individual's personal realization and the internal processing of information to change their own beliefs or understanding.
This has made me aware that identities can be shaped by things that are not visible to an observer.,Internalized,0.8,"The text focuses on the internal, non-visible aspects of identity formation and how an individual perceives their own self-concept."
"This gives me insight into how I can, at times, remain grounded when things get chaotic.",Internalized,0.8,The text focuses on the speaker's internal psychological state and self-insight regarding their personal ability to remain grounded.
I also identify with the geographic aspect.,Ideological,0.65,The text reflects a personal narrative and belief system regarding how geography shapes one's sense of identity.
The second factor was the fact that as I mentioned before I was exposed to different kinds of thoughts early on.,Ideological,0.8,"The text refers to being influenced by different belief systems and narratives, which fits the definition of ideological exposure."
Never thought about the role the places would play!,Institutionalized,0.7,"The mention of ""places"" refers to the structural or environmental contexts that influence outcomes and systemic dynamics."
Race:Balooch (Southern Iranian Race) Religin/Belief system: used to be Muslim (born as a Muslim),Ideological,0.7,The text outlines specific racial and religious identifiers that constitute cultural narratives and belief systems.
"I want to continue listening to my students individually, but I am looking forward to seeing how I can potentially interpret generalized data to ensure my classroom an equitable space for all.",Institutionalized,0.8,The text describes using generalized data and systemic approaches to structure the classroom environment as an equitable space.
"This is the most important realization for me because when we do this type of exercise with our students, we never know what will be triggered within them, and if that is the case, how can I tell if they do not reach out and how can I support them aside from providing resources in Canvas and remind them to be kind to themselves.",Internalized,0.8,"The text focuses on the internal emotional responses and psychological ""triggers"" students experience, emphasizing the need for them to be ""kind to themselves."""
(Though I'm definitely a process-oriented person and the approach taken in our meeting worked for me!),Institutionalized,0.75,"The text refers to a specific ""approach taken in our meeting,"" which constitutes an official practice or organizational structure."
Participants were surprised that it didn’t bother me that much.,Internalized,0.8,The text focuses on the speaker's internal emotional response and psychological state regarding how a situation affected them personally.
"From my child's personal experience, I can relate to this.",Interpersonal,0.6,"The reference to a ""personal experience"" typically signifies a direct lived event or interaction an individual has had with others."
Ageism is something that has always impacted me.,Ideological,0.8,"The text identifies a broad system of belief and cultural narrative (ageism) as a persistent influence without specifying a particular interaction, policy, or internal feeling."
After this exercise I did notice how much I rely on my clan network also known as k'é.,Institutionalized,0.8,The text refers to a clan network (k'é) as a social system and structure of organization that the individual relies upon for support.
"However, one highlight of this exercise for me was that I realized I had not ever listed them out in such a methodical manner.",Internalized,0.8,The text describes a personal realization and a shift in internal awareness regarding the speaker's own cognitive process.
I understand that I come from a place of privilege and I know that I have a lot to learn from individuals from other backgrounds and with varying lived experiences.,Ideological,0.85,The statement reflects an individual's internal beliefs and the adoption of social narratives regarding the concept of privilege.
That has helped me to know about the fact that people in different countries approach the same issue differently.,Ideological,0.85,"The text describes an awareness of varying cultural perspectives, norms, and narratives used to approach issues across different countries."
