ID,Campus,Syllabus Comments
32,Bakersfield,NA
36,Chico,No Comments
128,Chico,NA
25,Dominguez Hills,"I will include the benefits and structure of the office hours. I will carefully read the syllabus and revise any deficit language. I will introduce myself utilizing self-disclosure. 
I will include a statement about the value of difference and cultural perspective. I will revise participation points. 
I will provide the last 10 minutes of class for students to write a post about what they found to be the most important parts of the material. I will use anonymous polls and surveys to give a voice to all my students. Create Community Agreements with the class. I will include the topic of equity, diversity, and race"
91,Dominguez Hills,"Add information about the benefits and structure of office hours. Add electronic resources that can support with classroom content. Add a needs assessment at the beginning of the course to gage student needs overall, but also potential learning areas of opportunity. 
Reference sample assignments will be posted on Canvas under the assignment submission page. Add estimates for all assignments in terms of how much time it might take to complete."
186,Dominguez Hills,NA
11,East Bay,NA
81,East Bay,"Consider flexibility for students who may face attendance challenges due to personal circumstances. Offer alternative ways for participation, such as online forums or asynchronous discussions.
Ensure that homework and assignments are culturally sensitive and inclusive. Avoid assumptions about students' background knowledge and provide additional resources for those who may need extra support.
Allow for varied assessment methods to accommodate diverse learning styles. Offer options for students to demonstrate understanding in ways other than traditional quizzes.
Introduce diverse musical examples and genres to make the content more relatable to students from different cultural backgrounds.
Acknowledge and validate various musical scales and intervals from different cultural traditions. Encourage students to share examples from their own musical experiences.
Consider discussing and incorporating non-Western harmonic progressions to broaden students' understanding of harmony.
Be mindful of different cultural rhythms and tonalities. Provide examples that represent a variety of musical cultures.
Discuss how different cultures approach tonality and cadences. Explore examples beyond the Western classical tradition.
Include diverse melodic and rhythmic examples in dictation exercises. Emphasize that there is no singular correct way to approach music.
Consider making attendance policies flexible to accommodate various student circumstances, including those with family responsibilities or health concerns.
Allow flexibility for students facing challenges. Consider providing grace periods or alternate due dates for assignments.
Clearly define academic integrity and plagiarism and discuss them in the context of different cultural practices related to collaborative work and citation.
Proactively provide information about available accommodations and assure students that their needs will be met confidentially and respectfully."
201,East Bay,DNE
35,Fresno,NA
15,Long Beach,"Students should choose five leaders. Each leader should be from a different minority group. Student should specify the achievement of the leader and why they admire them. They should post this information on the discussion board. 
You can not chose a leader that is already been chosen by another student. The purpose of this exercise is to learn about leaders in different communities and their leadership styles.Later on during the semester for the group project, members of the group should chose one leader to make presentation about. The purpose of this portion is for students to be able to discuss and defend the leader they admire in a group setting."
97,Long Beach,"Matches section title in text. Clear grading expectations. 
Gender neutral. Links to check the syllabus online. QR code for easy access to help."
22,Monterey Bay,Instead of me assigning the groups randomly I would have students choose who they want to work with and present in their own creative way. 
