source_id,campus,sentence_index,sentence_id,sentence,ideological,ideological_score,institutionalized,institutionalized_score,interpersonal,interpersonal_score,internalized,internalized_score,primary_leaning,rationale,gemini_raw,reviewed,review_notes
1,Chico,0,1_0,"Something that I noticed is how I feel about my ""labels"" now versus how I would have viewed them when I was younger.",0,0.0,0,0.0,0,0.0,1,0.7,internalized,"The sentence reflects on a shift in self-perception regarding 'labels' over time, suggesting a change in how the individual views themselves in relation to societal categorizations, which is characteristic of internalized oppression.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 1,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.7,
  ""primary_leaning"": ""internalized"",
  ""rationale"": ""The sentence reflects on a shift in self-perception regarding 'labels' over time, suggesting a change in how the individual views themselves in relation to societal categorizations, which is characteristic of internalized oppression.""
}",0,
1,Chico,1,1_1,I think it is important to know how each individual defines themselves and listening to each other is key.,0,0.0,0,0.0,1,0.7,0,0.0,interpersonal,"The sentence emphasizes the importance of individual self-definition and listening to others, which directly relates to interpersonal interactions and respecting diverse identities.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 1,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.7,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""interpersonal"",
  ""rationale"": ""The sentence emphasizes the importance of individual self-definition and listening to others, which directly relates to interpersonal interactions and respecting diverse identities.""
}",0,
1,Chico,2,1_2,Our students (and everyone around us) are having different life experiences despite sharing a racial/gender/enter-identity-here commonalities.,0,0.0,0,0.0,0,0.0,0,0.0,none,"The sentence describes differing life experiences among people who share common identities, but it does not explicitly mention or imply any form of oppression.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""none"",
  ""rationale"": ""The sentence describes differing life experiences among people who share common identities, but it does not explicitly mention or imply any form of oppression.""
}",0,
1,Chico,3,1_3,"Since we all have so many different identities, knowing how they all intersect at different points in our lives and how that has created different life perspectives is an overwhelming task to do individually and in an hour long live zoom session.",0,0.0,0,0.0,0,0.0,0,0.0,none,"The sentence discusses the complexity of intersecting identities and the difficulty of exploring them within a limited timeframe, but it does not explicitly mention or lean towards any of the four forms of oppression.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""none"",
  ""rationale"": ""The sentence discusses the complexity of intersecting identities and the difficulty of exploring them within a limited timeframe, but it does not explicitly mention or lean towards any of the four forms of oppression.""
}",0,
1,Chico,4,1_4,"I want to continue listening to my students individually, but I am looking forward to seeing how I can potentially interpret generalized data to ensure my classroom an equitable space for all.",0,0.0,1,0.7,0,0.0,0,0.0,institutionalized,"The sentence discusses interpreting generalized data to ensure an equitable classroom space, which points to systemic efforts within the educational institution to address equity.","{
  ""ideological"": 0,
  ""institutionalized"": 1,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.7,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""institutionalized"",
  ""rationale"": ""The sentence discusses interpreting generalized data to ensure an equitable classroom space, which points to systemic efforts within the educational institution to address equity.""
}",0,
2,Chico,0,2_0,"As an intersectional scholar, I had experience discussing my various identities.",0,0.0,0,0.0,0,0.0,0,0.0,none,"The sentence describes the scholar's experience discussing their identities, which is a reflection on identity rather than an expression of oppression.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""none"",
  ""rationale"": ""The sentence describes the scholar's experience discussing their identities, which is a reflection on identity rather than an expression of oppression.""
}",0,
2,Chico,1,2_1,"However, one highlight of this exercise for me was that I realized I had not ever listed them out in such a methodical manner.",0,0.0,0,0.0,0,0.0,0,0.0,none,"The sentence describes a personal realization about a methodical process, which does not directly relate to any of the four forms of oppression.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""none"",
  ""rationale"": ""The sentence describes a personal realization about a methodical process, which does not directly relate to any of the four forms of oppression.""
}",0,
2,Chico,2,2_2,To be able to list the various identities within each category gave me a visual representation of my identities that I had never seen on paper.,0,0.0,0,0.0,0,0.0,0,0.0,none,The sentence describes a personal realization about one's identities and how visualizing them was helpful. It does not explicitly mention or lean towards any of the four forms of oppression.,"{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""none"",
  ""rationale"": ""The sentence describes a personal realization about one's identities and how visualizing them was helpful. It does not explicitly mention or lean towards any of the four forms of oppression.""
}",0,
2,Chico,3,2_3,An insight I gained from this activity has to do with the role that belief systems has played in my life.,1,0.6,0,0.0,0,0.0,0,0.0,ideological,"The sentence explicitly mentions 'belief systems' playing a role in the speaker's life, which directly relates to ideological oppression (dominant ideas, norms, assumptions).","{
  ""ideological"": 1,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.6,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""ideological"",
  ""rationale"": ""The sentence explicitly mentions 'belief systems' playing a role in the speaker's life, which directly relates to ideological oppression (dominant ideas, norms, assumptions).""
}",0,
2,Chico,4,2_4,I identify as agnostic and never really considered my lack of engagement with institutionalized religions as one of my identities.,0,0.0,0,0.0,0,0.0,0,0.0,none,"The sentence describes a personal identity and a lack of engagement with institutionalized religions, but does not express oppression.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""none"",
  ""rationale"": ""The sentence describes a personal identity and a lack of engagement with institutionalized religions, but does not express oppression.""
}",0,
2,Chico,5,2_5,"However, this activity forced me to consider the role of the dominant religion in my community in how my identities have evolved throughout my life.",1,0.7,0,0.0,0,0.0,0,0.0,ideological,"The sentence discusses how a dominant religion (a belief system and cultural narrative) influenced the evolution of the speaker's identities, which aligns with ideological oppression.","{
  ""ideological"": 1,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.7,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""ideological"",
  ""rationale"": ""The sentence discusses how a dominant religion (a belief system and cultural narrative) influenced the evolution of the speaker's identities, which aligns with ideological oppression.""
}",0,
