ID,Campus,Comments
32,Bakersfield,NA
36,Chico,"25 - Parental Pressure on Major Choice: I teach in a Kinesiology Department and we have options for a Physical Education Teacher Education degree, a BA in KINE or a BS in Exercise Physiology. Very often I run into students that have enrolled in the BS degree, because they and/or their parents feel that the science degree is more prestigious, therefore careers that follow will make more money. In that same vein, I have students that run into barriers with their parents when the student wants to do the teaching degree. Their parents view PE teachers as ""lazy and not getting paid well"" (Literally a quote from a student about what his mother said, just THIS WEEK). This particular student struggled with the heavy science classes and felt that he could not succeed with the BS degree path and wanted to work with kids in schools. But he was getting pushback from his mom and ended up switching to a Criminal Justice major because his mom thought that the careers that come from that degree have ""respectable titles"". This was disheartening to hear, and I am also bummed to say that this is not the first time I have heard this. The student mentioned that his parents never went to college and have high expectations for him. I offered to talk with his parents if he wanted me to, but he did not want to create stress. He wanted to do something that made his parents happy and that was it. I didn't feel like there was anything else I could do to help him or change his mind, and my heart hurts for these students that don't feel like they can make choices that make THEM happy.

72 - Likelihood to Register Late for Classes: As an academic advisor for our major, I always have a host of students that are registering late for classes for a variety of reasons. But this causes issues with getting the classes that they need to keep them on track for ""on time"" graduation sometimes. We have a few classes in our department with only one section offered, and if you don't get it to the class early, then you don't get into the class. As an advisor I have pushed that class back on the students' timeline so they take it in their final semester, just so I can always make a case for the student that they need the class to graduate in ""that"" semester. This time of year, me and my fellow 2 advisors for our 800+ majors are just too busy to see everyone. We do not have the people-power or the budget to pay for enough advisors for our students. If a student does not receive the guidance needed for registering for the correct classes, they are more likely to wait until later (after they have finally been able to get an appointment with us) to finally register for classes.

97 - Impact of Student Debt: As a major whose future career choices often include a graduate program, we talk with our students a lot about student loans and debt. I have had many students make the choice for a different major because they knew that there was going to be no way for them to afford a graduate program. Even though we talk about scholarship and grant opportunities, there are only a few students that actually look into these options and feel like the procedures and applications are ""doable"". Financial burdens on our students are not helping them have a leg up on life as they leave the university and try to find work that pays them a decent wage. At this point, I think trade schools are a better choice for most students."
128,Chico,"27-sense of belonging on campus

Many of my students are first generation college students and a higher percentage of them are transfer students. Working at a PWI, I have seen instances where my students feel alienated from their school and community. Some of my transfer students have expressed that they feel like they are behind their peers in terms of feeling connected to campus. Finding a supportive community of peers and staff is crucial in keeping students engaged in and out of the classroom.  

50-need to work while in college

I have many students who work while in college. I teach in a department that has a robust online program and many of my online students work full-time, in addition to parenting or other care responsibilities. As a second year professor, I’ve had to adjust my assignments and be more flexible with my students to provide more opportunities for my online students to be successful. On campus, I have students who come to class 20 minutes late after their work shifts or come to class exhausted after a late shift. Working at a CSU, having so many working-class students makes this one of the main barriers our students face.

 

69-completion of online courses

About 60% of the students in my department are online students. It takes a special type of dedication to be able to consistently attend class (or watch archived lectures), do the readings and assignments, and stay engaged throughout the course of a 16 week semester. I have seen students fall off throughout the semester and not finish the course. I try to be proactive and reach out to students when I see them falling behind, but it’s hard when I don’t actually see or know the students, particularly in asynchronous courses."
25,Dominguez Hills,"The barriers listed in the EAB document that spoke louder were 50 - Need to work while enrolled in college; 51 - Need to support dependents; and 88 - Knowledge and use of academic support resources.

This semester, most of my students have disclosed working at least part-time, and many of them are single parents, adding to the financial stress and ability to be physically and emotionally available for their child(ren). Some students have shared living with their parents and helping them financially due to their parent’s immigration status or health conditions. Students struggle to find the balance between their needs and the needs of their families and work. Many of them come to class exhausted, making engaging in class challenging. Sometimes, they miss due dates due to work, and it seems they are constantly trying to get caught up in their classes.

Additionally, some students need to be made aware of all the academic support resources at the university. I post information about the Writing Center and the Toro Learning & Testing Center and encourage students to seek support throughout their educational journey.
"
91,Dominguez Hills,"I teach graduate students in the School and College Counseling program, and while the data applies mainly to undergraduate students, so much of this carries into our graduate students. As a former school counselor, I also saw these respective challenges when my students transitioned into higher education institutions. From the Module 2 content, I saw the reference to colonial institutions, and indeed, when I had my Los Angeles students attend colleges and universities in the Northeast of the U.S., their experiences in transitioning where vastly different to my students who attended California institutions. In my students today, I will hone in on three that have been more prominent: 17. Student expectation of their own ability to succeed, 46. impact of unmet financial aid, and 51. need to support dependents. I think that my responses would be different if I had undergraduate students. Being that my students are graduate students and most from backgrounds historically excluded in higher education, many of them continuously express their feelings of ""imposter syndrome"" at the onset of the program. These feelings subside with time for most students when it comes to their academic potential and ability to succeed as graduate students as they experience the nurture we provide them and support to remind them that they have all it takes to thrive. However, each semester is something different, another building block in their journey to become counselors, so we continue to reaffirm them about their ability. Many of our students also have financial barriers when it comes to paying for graduate school, especially because students are required to complete practicum and fieldwork hours that impact their ability to have a full-time paid position. While some internship opportunities are paid, this is not all. We have several students who also support dependents or are caretakers to their parents. The number of caretakers has increased in the last year and this takes a toll on our students. As a program, we are a tight-knit community, but it makes wonder what else are students outside our program experiencing and what are we missing about our students' daily lives that impact their student identity. "
186,Dominguez Hills,"The three barriers that I selected are 19, 50 and 58

19. Impact of first failed course

This is an area of attention at CSUDH which typically leads to students dropping out. I understand that after a second failed course our retention is VERY low.  However, in my experience with a few mostly male students I have handed them a final exam and then shared their failing course grade and had a positive experience. 

Returning the final in person is important- very few come to my office to pick up a final exam.

Early in my career I recall one shaking my hand and telling me I was one of the best professors he had taken, and he was preparing to be more ready when he returned in the Fall.  I was so impressed with his reaction, and he discussed how he appreciated the respect shown him throughout the course.   This has happened with a handful of students, but more often in my face-to-face classes than my online classes.  This taught me early the importance of showing respect and empathy.  It is also why I remain at CSUDH.  I have a second time student this semester and he is doing great and look forward to seeing him on the stage at commencement.

50. Need to work while enrolled in college

Over 90% of my students work 30 hours or more during Fall and Spring semesters.  About half work 40 or more hours and yet they typically are taking 15 units (5 classes).  Even with those hours which often are the combination of 2 or 3 jobs, they struggle with extra expenses like textbooks, course materials and parking.   Many miss class because of the need to cover a shift. A few each year disappear because of changes in their work schedule and ask if they can complete the course online.  I think nearly 50% of the business classes are now fully online sections reflecting student preferences give the need to balance work and school. 

58. Access to transportation

Many of my students have missed class or even an exam due to car trouble that day.  Some students shared it takes almost 2 hours by public transportation to reach the CSUDH campus.  Daily parking fees of $10 cause many to park a mile away which sometimes causes them to arrive late.  These issues affect their ability to visit with me during office hours and to take advantage of on-campus activities because their transportation is often shared. 
"
11,East Bay,"The three barriers that have impacted students in my course are - 

 

#50. Need to work while enrolled in college. Most of the students in my undergraduate class work full time. It not only makes it difficult to attend all the classes, but also leaves them with no time do the homework or prepare for the exams. Long absence from class also impacts their confidence they need to do well in the class. Full-time work schedule also makes it difficult for them to attend office-hours, when they need guidance from me on the missed classes and assignments. The snowball effects of demanding work schedule thus raise a barrier on the students' ability to succeed in class.

 

#73. Student expectations of coursework rigor. I have seen it going both ways in my class. In some cases the students had underestimated the rigor of the class only to figure out later that class was too demanding for them. I have also had communications with some students before the beginning of the semester expressing their concern that they would not do well in this challenging class. In both cases I advised them to attend first two-three weeks of class before forming an opinion about the rigor of the coursework.

 

#81. Perceptions of time needed to study. This is somewhat related to the other two barriers I listed above. Due to their demanding work schedule and/or incorrect estimation of the course rigor, students in many instances start working on the assignment too late and couldn't finish those by the due date. Due to this wrong perception of time needed to study, they often submit underdeveloped work, or come to exams underprepared. They also miss out on getting proper timely guidance from the faculty for starting too late.
"
81,East Bay,"I teach music at CSUEB. If I had to choose only 3, they would be the following:

40. Ability and desire to take on debt & 97. Impact of student debt. There has been a major shift in humanities higher education in the past decade: less jobs in an already very narrow environment that is the humanities,  means less reasons to go into debt. This, I think, is a MAJOR issue affecting all programs that aren't directly streamlined into a professional job. Arts flourish when resources are available for artists/musicians to be able to sustain their creative output, from education to gigs, commissions, etc. On one end, institutions are cutting humanities curriculum, thus, less jobs; on the other, arts organizations have become more exclusive. It is becoming more and more difficult to not wonder if it is worth it for students...

5. Placement in developmental education. I believe this particularly affects my students. I am not sure if my definition of this barrier is what was implied, but access to music resources before college has become a major issue for students without a certain level of family wealth. Music lessons for children/teens are expensive, and building musicianship requires a lot of time. High-schools are reinforcing music less and less, and the weight falls on families. It is disheartening."
201,East Bay,"In my previous experience as a faculty member, especially during the pandemic, many students did not have access to a decent wifi signal. I was teaching on the Navajo Nation. Navajo Nation is much like an undeveloped nation experiencing major cellular and wifi based deficiencies in the infrastructure. The impact on the classroom was that many students, and faculty too, were not able to turn on their cameras. If you turned on a camera, the connection would fail. Hence, it was difficult to tell how the student was engaging if at all. This negatively impacted the learning environment leading to negative impacts on grades.

Housing insecurity is another issue. There is a severe housing crunch on Navajo Nation. It is unlike other areas due to federal trust land status, homesight leases, and grazing permits but that's a whole other story. Some students would camp or locate whatever they could to be near campus. One student spent the winter in what amounted to a non-insulated plywood closet and used a wood burning stove to stay warm. As a result, it is difficult to simply demand attendance on time either in person or online due to either or both of these issues. I imagine this will be a similar problem in the Bay Area where I teach now.

Teaching within a First Nation's language is actually quite key. Within our languages are our philosophies. I am Purehpecha with very limited understanding of my grandparents linguistic teachings. Rather, I understand their norms through their behaviors. Today, I work hard to understand the philosophies of the peoples where I teach. This has been made possible by my own understanding of what others may understand as Dinéhkeji or the Navajo way which might sound like ""my way or the high way"". However, it really means following a sunwise path with ideas at the dawn, planning in the morning, living out ones plans during the day and resting in the evening. It is a cyclical process that begins again at the dawn wherein we revise our plans for yesterday and build new, more impactful, plans. In this way, days lead to better planned out seasons, years, decades, generations, and add up to a life of wisdom and learning. This is all contained in that one word Dinékeji. Many of our Indigenous students already have this process innately programed into themselves through their ancestry. However, our western educational system has taught us to ignore it. My job is to legitimize this knowledge as a professor. "
35,Fresno,"While the assignment calls for us to pick three disparities we have observed as impacts in the classroom, I could not get beyond the fist section titled, ""Pre-College Academic Preparation.""

As a former high school teacher (17 years as an English teacher) I saw all of these quite regularly. Now, as a professor of English education and a parent, I see these regularly from different perspectives. But what sits heavy with me at the moment is that due to these barriers, there are students whom we will never see in the college classroom. 

Fresno State sits between two large districts: Fresno Unified (3rd largest in the state) and Clovis Unified. My son, an 8th grader, attends school in the Fresno Unified districts. His middle school is 71% low SES, 70% Hispanic (according to US News 88% ""minority"" enrollment), and yet the students outscore most other schools in the state. In fact, it is ranked as the 33rd best middle school in the state. Why? The teachers are told that the students are handpicked by test score and are the best in the district. Therefore, the teachers teach the students as if they are the best - they hold high expectations, and the students live into the expectations - the self-fulfilling prophecy at work. Not all students in Fresno Unified are treated this way. In fact, on many middle school campuses, English teachers don't even assign essays or longer pieces of writing because, ""The students can't do it."" ""The students can't read..."" The list of student can'ts is long. 

If a student can make it beyond high school to enter college from our local district, they have already fought so many fights to simply be accepted into a system that continues to produce more barriers. "
